,image_path,label
29,dataset\raw-img\butterfly\OIP-9_KrHf6lYfPZ0pZqgX8JsQHaHa.jpeg,0
30,dataset\raw-img\elephant\OIP-4WmHHgmRngHU6rJqrARQYwHaFj.jpeg,5
31,dataset\raw-img\squirrel\OIP-TWsEzQE6NZ3ZC63gbeAEGQHaKf.jpeg,9
32,dataset\raw-img\horse\OIP-r5ElgEsQfaFGmA1aAu5ImgHaE7.jpeg,6
33,dataset\raw-img\cat\ea34b80d20f3033ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,1
34,dataset\raw-img\cow\OIP-JPu-BXmsBMeYZR5HdDSdvwHaFj.jpeg,3
35,dataset\raw-img\butterfly\OIP-BXfDm4rszWP8XUi7CNXiGAHaGr.jpeg,0
36,dataset\raw-img\cow\OIP-nM-kxlZIf6lwqjju-V9ApgHaFj.jpeg,3
37,dataset\raw-img\horse\OIP-nq88Gmr-v5I6HswZNd7EogHaHk.jpeg,6
38,dataset\raw-img\butterfly\OIP-5owfoBwjsKvK_ungG8ov1AHaE8.jpeg,0
39,dataset\raw-img\butterfly\OIP-gEKYrp4Sl7oBI-3fQFvlsAHaDt.jpeg,0
40,dataset\raw-img\cow\OIP-qoSPuFAfFxZrsxhpJZu2swHaES.jpeg,3
41,dataset\raw-img\chicken\OIP-gXor4BFF7zU66CSfYapiTQHaF6.jpeg,2
42,dataset\raw-img\spider\OIP-LMB17TBN13Dbe97N18segAAAAA.jpeg,8
43,dataset\raw-img\cat\1776.jpeg,1
44,dataset\raw-img\chicken\OIP-J6bzevO4dCD1Ug0cnt-ZsQHaGP.jpeg,2
45,dataset\raw-img\horse\OIP-2YIpoZXla4ix4Eq8KUDVrwHaFj.jpeg,6
46,dataset\raw-img\squirrel\OIP-a1rHJc2k7GfSBopq4XbepAHaFc.jpeg,9
47,dataset\raw-img\spider\OIP-85z5txh46_qHl1_V9JUa_gHaHN.jpeg,8
48,dataset\raw-img\horse\OIP-oNCm5v4YI3pcIyGjJurmFAHaEz.jpeg,6
49,dataset\raw-img\squirrel\OIP-qkAxBdvZu9c6cJFupHzY7AHaE6.jpeg,9
50,dataset\raw-img\horse\OIP-JhaZE9Va_9kVQxcykJ7hTAHaJC.jpeg,6
51,dataset\raw-img\horse\OIP-iG8AXzbtw8uvYIvmUq22iAHaEy.jpeg,6
52,dataset\raw-img\horse\OIP-sBgVDq50nGssGsMgd09SOgHaEI.jpeg,6
53,dataset\raw-img\cow\OIP-32NPSeki_CTTfx3mJLMTdAHaFj.jpeg,3
54,dataset\raw-img\sheep\OIP-D0vP9prpdNBuaekMhL57oAHaFj.jpeg,7
55,dataset\raw-img\sheep\OIP-C2NhlybaZFu0nqO2ZxYTlgHaGs.jpeg,7
56,dataset\raw-img\elephant\OIP-0En3xUVQzdmLEZ_hYvzDBgHaFj.jpeg,5
57,dataset\raw-img\squirrel\OIP-3mLgTy8hhSUX9bNyf6UkJwHaFc.jpeg,9
58,dataset\raw-img\spider\OIP-l79zXpbhy7AaDFKBc6ikQQHaFj.jpeg,8
59,dataset\raw-img\cat\1840.jpeg,1
60,dataset\raw-img\elephant\ea35b60821f5083ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,5
61,dataset\raw-img\spider\OIP-kTQZGtPGXnEienG9reskBAEfDZ.jpeg,8
62,dataset\raw-img\chicken\OIP-F0NV58lgkXZr_wv-XAUiqQHaE6.jpeg,2
63,dataset\raw-img\squirrel\OIP-2pyGQ1Z-1ZqmxsX0NF6LpwHaFh.jpeg,9
64,dataset\raw-img\horse\OIP-iPREWrGnjvrUfnykHJYBPQHaE8.jpeg,6
65,dataset\raw-img\chicken\OIP-q5YdlP3Nh4eroH7X3BJxGQHaE7.jpeg,2
66,dataset\raw-img\cow\OIP-mxKJW0v54qe_PLRf-21O6AHaFj.jpeg,3
67,dataset\raw-img\squirrel\OIP-FjRPJ10zQacHBtt-a9_yuQHaLC.jpeg,9
68,dataset\raw-img\butterfly\OIP-gFj9hlDNxFIlThrHFO32AwHaFj.jpeg,0
69,dataset\raw-img\squirrel\OIP-0LD122m9ecpo8zEazPNLrgHaGW.jpeg,9
70,dataset\raw-img\horse\OIP--v2M4dNO-UVypF77vUD06gHaE7.jpeg,6
71,dataset\raw-img\cow\OIP-gi5w00CS2M543fSEM4lPGAHaFj.jpeg,3
72,dataset\raw-img\chicken\OIP-BFdhjTiTTGG6Arqw0Z61NAAAAA.jpeg,2
73,dataset\raw-img\sheep\OIP-NTwZMy6yNX_nycN4LuZxPgHaE8.jpeg,7
74,dataset\raw-img\chicken\OIP-iPFLw0mn02RbkjkDlG2cBAHaGy.jpeg,2
75,dataset\raw-img\elephant\OIP-r-UfJbYK4YDX2Bq0yvSQxAAAAA.jpeg,5
76,dataset\raw-img\spider\OIP-o3HDE2EYr_R40RFnby6ATAHaE0.jpeg,8
77,dataset\raw-img\dog\OIP-MsLj6sImN1bH3EWF84nbbgHaE9.jpeg,4
78,dataset\raw-img\cat\1087.jpeg,1
79,dataset\raw-img\squirrel\OIP-8eXjcKcrY2SOHdZXB2gOugHaE8.jpeg,9
80,dataset\raw-img\chicken\19.jpeg,2
81,dataset\raw-img\horse\OIP---sK_NCo5VFiDavIY-pUdgHaFB.jpeg,6
82,dataset\raw-img\dog\OIP-Hv7Nl64hmx3zODkTzwZEcgHaGj.jpeg,4
83,dataset\raw-img\cow\OIP-5OxC7CZYRz0VOnH_SJfljgHaFl.jpeg,3
84,dataset\raw-img\dog\OIP-RGhGECl6diDGNC8gA_qO8gHaK_.jpeg,4
85,dataset\raw-img\chicken\OIP-F4pzSy_KwuXuPSOLVJaqoAHaIT.jpeg,2
86,dataset\raw-img\sheep\OIP-K6B6oldtG0MpytL6ywzDYAAAAA.jpeg,7
87,dataset\raw-img\cat\1554.jpeg,1
88,dataset\raw-img\dog\OIP-qEzQEjpT0w9K9rrYtz9m4QHaFj.jpeg,4
89,dataset\raw-img\cat\ea34b20a2bf4003ed1584d05fb1d4e9fe777ead218ac104497f5c978a7e8b7bc_640.jpg,1
90,dataset\raw-img\sheep\OIP-gcDcCfuuTunDGoyjkP4d3wHaGE.jpeg,7
91,dataset\raw-img\spider\OIP-PdU3qT0EktKCf4T2oI1BiQHaHa.jpeg,8
92,dataset\raw-img\butterfly\ea34b9092bf6063ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,0
93,dataset\raw-img\cow\OIP-EyPnilcEumNa-GspUjw8RAHaDp.jpeg,3
94,dataset\raw-img\dog\OIP-ED32KxHQltNBlPlby2rpjgHaFE.jpeg,4
95,dataset\raw-img\cat\chinda-sam-164936-unsplash.jpg,1
96,dataset\raw-img\elephant\OIP-o0_pRMvMkSwLnN1pQHN_FwHaF7.jpeg,5
97,dataset\raw-img\horse\OIP-N97qgN7mVoh7eA0N4dqLnQHaGU.jpeg,6
98,dataset\raw-img\dog\OIP-dQg7msxJpLektiiJkDkgtgHaG_.jpeg,4
99,dataset\raw-img\chicken\386.jpeg,2
100,dataset\raw-img\spider\OIP-5UmDywRYaXtppLmgIOr2bAHaE8.jpeg,8
101,dataset\raw-img\cat\1112.jpeg,1
102,dataset\raw-img\sheep\OIP-3-9dQST83powlbdM2EuDPgAAAA.jpeg,7
103,dataset\raw-img\chicken\575.jpeg,2
104,dataset\raw-img\spider\OIP-5368O-92sXWPfJx2GSj6vQHaG2.jpeg,8
105,dataset\raw-img\cow\OIP-fyaI56VBowaYeC_HYW190QHaE7.jpeg,3
106,dataset\raw-img\horse\OIP-11jTtu4_ICOX2FV0aWCungHaLn.jpeg,6
107,dataset\raw-img\cat\188.jpeg,1
108,dataset\raw-img\cow\OIP-aBXTX-lOzfaNnpfsRI5ZbAHaFT.jpeg,3
109,dataset\raw-img\squirrel\OIP-8H9U4_IuEAYT3xesEYZHfgHaEK.jpeg,9
110,dataset\raw-img\horse\OIP-S2HpzpbWJbT6d3rBxXODSwHaD6.jpeg,6
111,dataset\raw-img\spider\OIP-FWP5p33nmwbPWyNdQ64rRAHaE7.jpeg,8
112,dataset\raw-img\chicken\1116.jpeg,2
113,dataset\raw-img\spider\OIP-eJrfB-vuv07hR2-UTzD_FgHaHa.jpeg,8
114,dataset\raw-img\cow\OIP-8CEM_C2LhLfrdZLcoQ6TMQHaFj.jpeg,3
115,dataset\raw-img\elephant\OIP-66DsQGAuoE0zkQIykZbqawHaE-.jpeg,5
116,dataset\raw-img\sheep\e032b5082ef61c22d2524518b7444f92e37fe5d404b0144390f8c078a0eabd_640.jpg,7
117,dataset\raw-img\horse\OIP-IDFG8dCue_Z_HXOmzvj55gHaE8.jpeg,6
118,dataset\raw-img\chicken\OIP-KMbL7ZcdzLZwpuRLJd1SZgHaNL.jpeg,2
119,dataset\raw-img\squirrel\OIP-sXsBWYcDPWBK5MUdROls6AHaFc.jpeg,9
120,dataset\raw-img\squirrel\OIP-0OszTGTamFGGjvq8hxZcdQHaLF.jpeg,9
121,dataset\raw-img\dog\OIP-j--P-4eZw-uMWBBEXHO4YQHaEK.jpeg,4
122,dataset\raw-img\cat\533.jpeg,1
123,dataset\raw-img\sheep\OIP-Jiaddpm3t_gHe1MidPPm5wHaGw.jpeg,7
124,dataset\raw-img\dog\OIP--7xBAVJkrjDLNCknR2fuKgHaHa.jpeg,4
125,dataset\raw-img\spider\OIP-N4yVFeTWUWJkiP3anfBHXgHaHa.jpeg,8
126,dataset\raw-img\squirrel\OIP-GsX-XZvHqLoFT9Kv9YWngAHaFj.jpeg,9
127,dataset\raw-img\squirrel\OIP-9g3ezJks7vJFnD6KvAOi1AHaFj.jpeg,9
128,dataset\raw-img\dog\OIP-55-53tiTaa0bBrS8_TS0YgHaFj.jpeg,4
129,dataset\raw-img\spider\OIP-Hg1DZwF71Ch33rBe5ZAy9AHaF7.jpeg,8
130,dataset\raw-img\chicken\OIP-NKbe8BOEnKnaNBglY4QjewHaFj.jpeg,2
131,dataset\raw-img\horse\OIP-6eq3QLerFdMuea3dUOXW2gHaFj.jpeg,6
132,dataset\raw-img\horse\OIP-5nj5u9gieVo7sFARZmaRrQHaFt.jpeg,6
133,dataset\raw-img\spider\OIP-eGV6kFvYhoEGRU4xuq9oIQHaFd.jpeg,8
134,dataset\raw-img\spider\OIP-HuA2ABQltdMquHotJ9YGmgHaE6.jpeg,8
135,dataset\raw-img\horse\OIP-AJzDXt9Kntg02bMoPpNtyAHaIU.jpeg,6
136,dataset\raw-img\chicken\OIP-faWqm84FBauH0jyP0mi6DQHaJV.jpeg,2
137,dataset\raw-img\chicken\643.jpeg,2
138,dataset\raw-img\horse\OIP-Sn34t6RYj5rH0MCuFUr_ZgHaFj.jpeg,6
139,dataset\raw-img\chicken\OIP-ctEpvdjNIY-XUP6T23J_lwHaGF.jpeg,2
140,dataset\raw-img\squirrel\OIP-54JG79NJymCf6M3PQf-ahwHaE7.jpeg,9
141,dataset\raw-img\horse\OIP-6rNvEnB9R9osB81-uLXDjgHaE8.jpeg,6
142,dataset\raw-img\squirrel\OIP--0Yr2a_yg2hs5QgCoHAOnAHaLJ.jpeg,9
143,dataset\raw-img\spider\OIP-RQsW8YMNu1zfmvjewCmEegHaE7.jpeg,8
144,dataset\raw-img\chicken\OIP-k7dTg_PMteg5olaaUP_RbgHaE8.jpeg,2
145,dataset\raw-img\dog\OIP-AMeAJLuwum4i-4aI1ED5AgHaE7.jpeg,4
146,dataset\raw-img\spider\OIP-jdZ57jBNh3lA0JaS9L6SRgHaFx.jpeg,8
147,dataset\raw-img\dog\OIP-Ax-pm8OupW1eZ7jdF7xeXAHaHa.jpeg,4
148,dataset\raw-img\horse\OIP-pGBUmA_pMdq3DPT_L4ukHgHaFj.jpeg,6
149,dataset\raw-img\sheep\OIP-RspsY8WD9tZgtJRhPOZabQHaE8.jpeg,7
150,dataset\raw-img\dog\OIP-8OyFw2RNcyztx1rLyHjboQHaEJ.jpeg,4
151,dataset\raw-img\dog\OIP-gJKI2eE-QhYFFpOgCG3TqAHaE8.jpeg,4
152,dataset\raw-img\spider\OIP-KT9r1-5rShMaOE2RK23FKwHaE7.jpeg,8
153,dataset\raw-img\spider\OIP-3j6ONDcBDTFDTOwHVkyEDAHaC4.jpeg,8
154,dataset\raw-img\spider\OIP-BvCyvhkl4Ak8mS1Hlzyv2AHaFj.jpeg,8
155,dataset\raw-img\chicken\OIP-kCdxgsk2W34n4qKqsu5n7QHaFj.jpeg,2
156,dataset\raw-img\dog\OIP-8Wfr35q2NvycyPXuDDUhiAHaFd.jpeg,4
157,dataset\raw-img\butterfly\OIP-rklMXJd0ZAnHp4HDWD8mjAHaE7.jpeg,0
158,dataset\raw-img\elephant\eb34b20a2bf4063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efbcb0_640.jpg,5
159,dataset\raw-img\cat\1199.jpeg,1
160,dataset\raw-img\spider\OIP-S7tKog7Wzzbv4BCzZRxU-gHaE7.jpeg,8
161,dataset\raw-img\horse\OIP-2kLDzggLujT2MJMt2Vzj-QHaF3.jpeg,6
162,dataset\raw-img\horse\OIP-RqG4Po1v5T8LSGOhSh1rEQHaEo.jpeg,6
163,dataset\raw-img\butterfly\OIP-MK43amyrfNPI0gu-nFc1GQHaF2.jpeg,0
164,dataset\raw-img\chicken\OIP-lPYTIHe1ILYjU0Y4NGI4QQHaEK.jpeg,2
165,dataset\raw-img\spider\OIP-1OD6BltjB4CSzDd0QMZGlwHaE7.jpeg,8
166,dataset\raw-img\horse\OIP-16pJcfR0UbvSvZztag8eNgHaFj.jpeg,6
167,dataset\raw-img\squirrel\OIP-9HaNJzI-YWND5WHAINT-3wHaEK.jpeg,9
168,dataset\raw-img\dog\OIP-MFBO5ZcswaNLJDpfBK1ahgHaFc.jpeg,4
169,dataset\raw-img\sheep\OIP-28IOodRjId1_8Y4kgBH6bAHaHa.jpeg,7
170,dataset\raw-img\dog\OIP-8eAp2TNhzdK4Uz7P05PKsQHaEY.jpeg,4
171,dataset\raw-img\dog\OIP-ESJK0zmFEIAGEaMM1-UVMAAAAA.jpeg,4
172,dataset\raw-img\cow\OIP-snj5ZRX6NGmddPeRhXUu6gHaE7.jpeg,3
173,dataset\raw-img\cat\663.jpeg,1
174,dataset\raw-img\butterfly\OIP-2JZFRoe9wsW0-jz4WaPRgwHaFI.jpeg,0
175,dataset\raw-img\spider\OIP-F9rH2fD-MeTQQ_WC-iYhJgHaFj.jpeg,8
176,dataset\raw-img\horse\OIP-I_aLQfYMMtzOzqMmnT1e_AHaFj.jpeg,6
177,dataset\raw-img\elephant\OIP-JElVM7S2-xI24sU58BlZgAHaEK.jpeg,5
178,dataset\raw-img\chicken\1103.jpeg,2
179,dataset\raw-img\elephant\ea36b0082bf2063ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,5
180,dataset\raw-img\cat\621.jpeg,1
181,dataset\raw-img\squirrel\OIP-K6c5jdujJgGS0FmEleumBQAAAA.jpeg,9
182,dataset\raw-img\horse\OIP-kINDYWAuhRMthgI-qZZbDAHaEo.jpeg,6
183,dataset\raw-img\dog\OIP-mrcAcvmhFZQ7F1aVtiKjpQHaE8.jpeg,4
184,dataset\raw-img\cow\OIP-TklOVWKwBkxdfT3K0SORbwHaHa.jpeg,3
185,dataset\raw-img\spider\OIP-g1Gw08b0mwS1RXxJ_1x0ZQAAAA.jpeg,8
186,dataset\raw-img\chicken\OIP-B2lFJllWVp6DE6vVtZ_--gAAAA.jpeg,2
187,dataset\raw-img\spider\OIP-p9p-GqhanVanA8J2cyYLiAHaFj.jpeg,8
188,dataset\raw-img\cow\OIP-BaYfJn1r7QhO01eA7zaedgHaD6.jpeg,3
189,dataset\raw-img\sheep\OIP-CsMHiMY3VgmchHU6o1b5iQHaFb.jpeg,7
190,dataset\raw-img\butterfly\eb35b3072dfd003ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.png,0
191,dataset\raw-img\butterfly\ea37b0082bf6083ed1584d05fb1d4e9fe777ead218ac104497f5c97faee9bdba_640.jpg,0
192,dataset\raw-img\chicken\OIP-1PP_G9o3_pHuwi-KpHzhbQHaE8.jpeg,2
193,dataset\raw-img\elephant\OIP-9vy_oIBRb3R-YjOjIsVTLwHaE8.jpeg,5
194,dataset\raw-img\spider\OIP-287MgwUcM12uSVToZznPRQHaHo.jpeg,8
195,dataset\raw-img\dog\OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,4
196,dataset\raw-img\cat\ea34b20a2bf4083ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,1
197,dataset\raw-img\squirrel\OIP-hlncX1kdljzlcBibV98CQwAAAA.jpeg,9
198,dataset\raw-img\sheep\eb3cb30b21f0063ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg,7
199,dataset\raw-img\horse\OIP-KLkudh0UJn-joIcWMxWGRgHaFj.jpeg,6
200,dataset\raw-img\butterfly\OIP-HLBTy5JyuVN-cg2gEgzZBgHaH6.jpeg,0
201,dataset\raw-img\cow\OIP-NpY_Ellie_tj8tXe18c8UgHaEK.jpeg,3
202,dataset\raw-img\spider\OIP-g6w_2dtDtdNK53DJbrSIRwHaFj.jpeg,8
203,dataset\raw-img\spider\OIP-IE9PFbZ1DiJROiPEUMZ2mgHaF0.jpeg,8
204,dataset\raw-img\horse\OIP-l_-1m3TEMnaVXZw9Ys2UhgHaE7.jpeg,6
205,dataset\raw-img\sheep\OIP-F5UjZZWxUpG1Zntf1m0S1QHaEm.jpeg,7
206,dataset\raw-img\chicken\401.jpeg,2
207,dataset\raw-img\spider\OIP-8Yh4VOUbI6IaUrqt0F38jAHaF7.jpeg,8
208,dataset\raw-img\dog\OIP-f8Mh7yKlAucNIzRsdgYvrgHaHa.jpeg,4
209,dataset\raw-img\cow\OIP--WbAO4ghPN8si_VhnQY_zQHaFb.jpeg,3
210,dataset\raw-img\horse\OIP-eVuLPEQybqy2K6Hq-mgZYQAAAA.jpeg,6
211,dataset\raw-img\spider\OIP-6FiqYvdIYUPqmx6Z-sx1JwAAAA.jpeg,8
212,dataset\raw-img\horse\OIP-FlDUrhQUxWO6RcKgDM93dgHaGL.jpeg,6
213,dataset\raw-img\chicken\OIP-hiqwRsp3biM4QXE21c0BKQHaHd.jpeg,2
214,dataset\raw-img\butterfly\OIP-hdlgpKWmQ1B2REq0pffUkgAAAA.jpeg,0
215,dataset\raw-img\horse\OIP-5pXv46sUXNfQNoI1wTx-wwHaF7.jpeg,6
216,dataset\raw-img\cat\1258.jpeg,1
217,dataset\raw-img\spider\OIP-QGgNgciREO0FGNAhydsvNQHaJQ.jpeg,8
218,dataset\raw-img\dog\OIP-E1Cz-grWMhm8evvrzWQujQHaFj.jpeg,4
219,dataset\raw-img\spider\OIP-ijqJmA1W1GVguBgGwNIHFQHaFL.jpeg,8
220,dataset\raw-img\cow\OIP-SEGxqcuQA3ntEXP2r2N6uQHaFn.jpeg,3
221,dataset\raw-img\horse\OIP-QxOBcqrmAFPjxHXe06gwMgHaFj.jpeg,6
222,dataset\raw-img\sheep\OIP-i-Dy6ucOvBaVbdQXBezCFgHaFj.jpeg,7
223,dataset\raw-img\spider\OIP-b5hinAhF3JqS_bHGuLHMhgHaFk.jpeg,8
224,dataset\raw-img\cow\OIP-Qms-pUyu5mCx0vB9G19fBgHaHa.jpeg,3
225,dataset\raw-img\cat\1104.jpeg,1
226,dataset\raw-img\chicken\OIP-EdOyyCZAH3Fuf7s9CN19GwHaHI.jpeg,2
227,dataset\raw-img\cat\1730.jpeg,1
228,dataset\raw-img\cow\OIP-dlEojPypIkt--w3ukDrOFgHaKe.jpeg,3
229,dataset\raw-img\chicken\490.jpeg,2
230,dataset\raw-img\horse\OIP-Jwc6ZtGBiIwgh-vs4vDB2QHaE-.jpeg,6
231,dataset\raw-img\elephant\OIP-IUm8MWbsaihUNEzOJ98QSAHaE6.jpeg,5
232,dataset\raw-img\chicken\OIP-AQExi2R9lOn17ztClVo0BwHaFj.jpeg,2
233,dataset\raw-img\spider\OIP-PHgD7f9-QxOf3tOA240cKwHaFx.jpeg,8
234,dataset\raw-img\horse\OIP-1qfoZfLH9zLsb8AqCVm7PQAAAA.jpeg,6
235,dataset\raw-img\cow\OIP-SnSrSek6up8kGrmqN1qOSwHaEc.jpeg,3
236,dataset\raw-img\cow\OIP-F6fa8PGimDmQKq47PG-s4wHaFA.jpeg,3
237,dataset\raw-img\butterfly\eb32b6092bf0033ed1584d05fb1d4e9fe777ead218ac104497f5c97faee8b1b8_640.png,0
238,dataset\raw-img\butterfly\OIP-nMeO2w8RPsZelgnjYR8j6gHaFj.jpeg,0
239,dataset\raw-img\cow\OIP-Ecf_2EWoZ0Mi1GhivZNSYQHaHa.jpeg,3
240,dataset\raw-img\sheep\OIP-4j5TXNG0zySgSz6nRu37gAHaE7.jpeg,7
241,dataset\raw-img\spider\OIP-MTmayQAcis4IbNA0Lvd9cQHaEv.jpeg,8
242,dataset\raw-img\cow\OIP-2NR1yHYYgYGG2KL36kqndAHaKh.jpeg,3
243,dataset\raw-img\chicken\OIP-JfPNAH7uuPTI9XOZRBZUpwHaFi.jpeg,2
244,dataset\raw-img\cow\OIP-B56FZiw87dtGjSrjrsBhUQHaD6.jpeg,3
245,dataset\raw-img\dog\OIP-5cYXFOmkwHQzJAG7aPO2zQHaLL.jpeg,4
246,dataset\raw-img\horse\OIP-j6RrH5aHbY8xfHzq_3xzGQHaHa.jpeg,6
247,dataset\raw-img\chicken\807.jpeg,2
248,dataset\raw-img\sheep\ea35b70f20f2023ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg,7
249,dataset\raw-img\squirrel\OIP-hdBdyWUTGh0plvg7_-GIMQHaFb.jpeg,9
250,dataset\raw-img\dog\OIP-c0xYpD9d9NRoP3XivX8D-wHaD5.jpeg,4
251,dataset\raw-img\horse\OIP-ihkWCLc7Z0G6N4BFbEQsnwHaFj.jpeg,6
252,dataset\raw-img\horse\OIP-4EfFxgGkcV_7qWaAkI9ufwHaFc.jpeg,6
253,dataset\raw-img\dog\OIP-sT8hM1L6qkYFFuoYyhhOgAHaFj.jpeg,4
254,dataset\raw-img\chicken\1041.jpeg,2
255,dataset\raw-img\cow\OIP-8K0lKZ9dcraBoxzwPAYWewHaKF.jpeg,3
256,dataset\raw-img\sheep\OIP-DzOalveifcgPgfKR0LrTNQHaEU.jpeg,7
257,dataset\raw-img\butterfly\ea37b40e20f6023ed1584d05fb1d4e9fe777ead218ac104497f5c97faeebb5bb_640.jpg,0
258,dataset\raw-img\chicken\OIP-k-cxEIJpdgHABOHwfzX9LQHaGL.jpeg,2
259,dataset\raw-img\elephant\e83cb10f2bf7033ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,5
260,dataset\raw-img\chicken\OIP-lGU4K5LCd5fnV-1bnCPbKgHaE7.jpeg,2
261,dataset\raw-img\dog\OIP-j7bJZGXEkRW7bxmAkz9kjwHaHQ.jpeg,4
262,dataset\raw-img\horse\OIP-eBz0b2spdTJqzgBwxOA33gHaKy.jpeg,6
263,dataset\raw-img\sheep\OIP-M2_r7QWZ-g9qOAfFP6QfhwHaE8.jpeg,7
264,dataset\raw-img\horse\OIP-Grcvdp_auxL1RRC7462A_gHaFy.jpeg,6
265,dataset\raw-img\horse\OIP-D65shs_QaLjg8USfaWpNqAHaE8.jpeg,6
266,dataset\raw-img\cow\OIP-hivg5-GETwU0GbuChTDP4QAAAA.jpeg,3
267,dataset\raw-img\squirrel\OIP--y-qGMDO87jwtTnheP1lggHaE8.jpeg,9
268,dataset\raw-img\dog\OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,4
269,dataset\raw-img\butterfly\OIP-ad1vCFmNBJd5QxrLZ7QD_AHaHa.jpeg,0
270,dataset\raw-img\dog\OIP-TPaLCqnQ27skoWafkjavrQHaFE.jpeg,4
271,dataset\raw-img\sheep\ea37b5092ff6013ed1584d05fb1d4e9fe777ead218ac104497f5c978a6ebb3bf_640.jpg,7
272,dataset\raw-img\squirrel\OIP-DXYB9z4gKnPFPtv1Pqx5BgHaEW.jpeg,9
273,dataset\raw-img\chicken\214.jpeg,2
274,dataset\raw-img\chicken\OIP-Hgjc31Qqw4binxBCd43newEPEs.jpeg,2
275,dataset\raw-img\dog\OIP-kNBUSN1o2EWWrjm7XG_QHwHaE7.jpeg,4
276,dataset\raw-img\chicken\OIP--5g5OnUD2_qUsPoC9zJpXwHaFk.jpeg,2
277,dataset\raw-img\butterfly\OIP-IerliE4BDfB-Qn0d5bW_HgHaHT.jpeg,0
278,dataset\raw-img\cow\OIP-oMD72T1nmlaZ4_P6YZqnhwHaLH.jpeg,3
